,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
740,Upper Subansiri,Rural,100,62.9,2.5,34.4
741,Upper Subansiri,Total,100,58.9,2.3,42.8
742,Upper Subansiri,Urban,100,38.5,1.2,85.1
743,West Siang,Rural,100,41.2,0.8,71.1
744,West Siang,Total,100,38.4,1.1,77.2
745,West Siang,Urban,100,30.0,2.1,95.6
746,East Siang,Rural,100,28.0,1.5,47.4
747,East Siang,Total,100,37.2,2.4,61.5
748,East Siang,Urban,100,56.4,4.3,90.7
749,Upper Siang,Rural,100,29.2,0.4,56.3
750,Upper Siang,Total,100,33.1,0.6,61.4
751,Upper Siang,Urban,100,47.5,1.1,80.2
