,District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
1788,Pathanamthitta,Urban,100,23.7,2.8,96.0
1789,Kollam,Rural,100,29.9,7.5,93.0
1790,Kollam,Total,100,27.5,6.6,94.5
1791,Kollam,Urban,100,24.4,5.5,96.4
1792,Thiruvananthapuram,Rural,100,34.2,10.2,91.9
1793,Thiruvananthapuram,Total,100,29.8,8.0,94.2
1794,Thiruvananthapuram,Urban,100,25.9,6.1,96.3
1795,Thiruvallur,Rural,100,32.4,3.3,28.3
1796,Thiruvallur,Total,100,23.1,1.8,67.9
1797,Thiruvallur,Urban,100,18.1,1.0,88.8
1798,Chennai,Total,100,17.4,0.9,95.6
1799,Chennai,Urban,100,17.4,0.9,95.6
1800,Kancheepuram,Rural,100,31.7,2.3,29.3
1801,Kancheepuram,Total,100,22.6,1.3,65.5
1802,Kancheepuram,Urban,100,17.6,0.8,85.6
1803,Vellore,Rural,100,27.8,2.3,19.2
1804,Vellore,Total,100,24.9,2.0,41.1
1805,Vellore,Urban,100,21.0,1.5,71.2
1806,Tiruvannamalai,Rural,100,29.0,2.3,12.5
1807,Tiruvannamalai,Total,100,27.0,2.1,22.8
1808,Tiruvannamalai,Urban,100,18.7,1.3,65.1
1809,Viluppuram,Rural,100,36.0,2.0,13.2
1810,Viluppuram,Total,100,34.2,1.9,21.1
1811,Viluppuram,Urban,100,23.8,1.5,65.6
1812,Salem,Rural,100,32.2,2.3,14.6
1813,Salem,Total,100,28.3,1.8,35.0
1814,Salem,Urban,100,24.4,1.3,54.9
1815,Namakkal,Rural,100,25.4,1.8,31.2
1816,Namakkal,Total,100,24.9,1.6,40.7
1817,Namakkal,Urban,100,24.3,1.2,54.6
1818,Erode,Rural,100,28.6,2.0,33.7
1819,Erode,Total,100,26.2,1.5,49.0
1820,Erode,Urban,100,23.8,1.1,63.8
1821,The Nilgiris,Rural,100,34.6,2.1,42.3
1822,The Nilgiris,Total,100,35.6,2.0,51.9
1823,The Nilgiris,Urban,100,36.4,1.9,58.9
1824,Dindigul,Rural,100,31.5,1.8,18.9
1825,Dindigul,Total,100,29.4,1.6,33.3
1826,Dindigul,Urban,100,25.9,1.4,57.4
1827,Karur,Rural,100,29.0,2.2,23.0
1828,Karur,Total,100,25.3,1.6,41.2
1829,Karur,Urban,100,20.1,0.9,67.1
1830,Tiruchirappalli,Rural,100,29.8,2.4,24.0
1831,Tiruchirappalli,Total,100,25.7,1.8,48.5
1832,Tiruchirappalli,Urban,100,21.4,1.2,74.2
1833,Perambalur,Rural,100,30.2,2.2,15.6
1834,Perambalur,Total,100,28.0,2.0,22.2
1835,Perambalur,Urban,100,16.9,0.9,55.2
1836,Ariyalur,Rural,100,37.9,3.4,14.2
1837,Ariyalur,Total,100,36.8,3.2,18.1
1838,Ariyalur,Urban,100,27.7,2.0,51.3
1839,Cuddalore,Rural,100,38.9,2.4,19.9
1840,Cuddalore,Total,100,34.8,2.1,36.1
1841,Cuddalore,Urban,100,26.4,1.5,68.6
1842,Nagapattinam,Rural,100,44.7,3.2,31.2
1843,Nagapattinam,Total,100,41.7,3.0,39.5
1844,Nagapattinam,Urban,100,31.0,2.4,69.7
1845,Thiruvarur,Rural,100,44.8,4.1,31.5
1846,Thiruvarur,Total,100,41.4,3.7,39.7
1847,Thiruvarur,Urban,100,27.9,1.7,72.8
1848,Thanjavur,Rural,100,43.1,4.5,28.8
1849,Thanjavur,Total,100,38.0,3.6,45.1
1850,Thanjavur,Urban,100,28.7,2.0,74.8
1851,Pudukkottai,Rural,100,39.5,4.2,17.7
1852,Pudukkottai,Total,100,36.6,3.7,28.0
1853,Pudukkottai,Urban,100,25.1,1.6,69.3
1854,Sivaganga,Rural,100,31.7,3.0,23.9
1855,Sivaganga,Total,100,28.8,2.5,40.7
1856,Sivaganga,Urban,100,22.0,1.4,78.5
1857,Madurai,Rural,100,32.1,2.1,20.7
1858,Madurai,Total,100,23.2,1.3,59.2
1859,Madurai,Urban,100,17.3,0.8,84.8
1860,Theni,Rural,100,35.2,2.1,24.8
1861,Theni,Total,100,32.4,1.6,39.3
1862,Theni,Urban,100,29.9,1.3,52.0
1863,Virudhunagar,Rural,100,27.0,1.7,14.6
1864,Virudhunagar,Total,100,23.1,1.3,30.9
1865,Virudhunagar,Urban,100,19.3,0.9,46.9
1866,Ramanathapuram,Rural,100,34.4,3.0,22.5
1867,Ramanathapuram,Total,100,31.6,2.6,36.6
1868,Ramanathapuram,Urban,100,25.1,1.6,70.6
1869,Thoothukkudi,Rural,100,33.5,2.0,28.2
1870,Thoothukkudi,Total,100,28.5,1.6,50.0
1871,Thoothukkudi,Urban,100,23.2,1.3,73.1
1872,Tirunelveli,Rural,100,30.3,1.6,33.2
1873,Tirunelveli,Total,100,27.8,1.4,47.6
1874,Tirunelveli,Urban,100,25.1,1.1,62.9
1875,Kanniyakumari,Rural,100,35.6,2.7,83.1
1876,Kanniyakumari,Total,100,33.4,2.9,87.5
1877,Kanniyakumari,Urban,100,33.0,3.0,88.4
1878,Dharmapuri,Rural,100,33.1,2.5,10.7
1879,Dharmapuri,Total,100,31.4,2.3,19.0
1880,Dharmapuri,Urban,100,23.0,1.6,59.0
1881,Krishnagiri,Rural,100,32.7,2.2,19.2
1882,Krishnagiri,Total,100,29.4,1.8,33.0
1883,Krishnagiri,Urban,100,18.3,0.6,78.3
1884,Coimbatore,Rural,100,27.4,1.6,33.3
1885,Coimbatore,Total,100,24.9,1.0,66.7
1886,Coimbatore,Urban,100,24.1,0.8,77.9
1887,Tiruppur,Rural,100,27.6,1.7,30.9
1888,Tiruppur,Total,100,25.3,1.1,57.2
1889,Tiruppur,Urban,100,23.6,0.7,75.0
1890,Yanam,Total,100,15.4,0.7,81.9
1891,Yanam,Urban,100,15.4,0.7,81.9
1892,Puducherry,Rural,100,31.9,2.6,35.8
1893,Puducherry,Total,100,22.8,1.6,68.5
1894,Puducherry,Urban,100,19.0,1.2,82.5
1895,Mahe,Total,100,15.8,1.1,97.8
1896,Mahe,Urban,100,15.8,1.1,97.8
1897,Karaikal,Rural,100,36.8,2.1,47.6
1898,Karaikal,Total,100,29.2,1.6,60.6
1899,Karaikal,Urban,100,21.0,1.2,74.4
1900,Nicobars,Rural,100,23.8,1.2,80.9
1901,Nicobars,Total,100,23.8,1.2,80.9
1902,North  & Middle Andaman,Rural,100,44.3,2.7,48.0
1903,North  & Middle Andaman,Total,100,44.6,2.8,48.3
1904,North  & Middle Andaman,Urban,100,55.9,6.6,56.1
1905,South Andaman,Rural,100,33.5,3.5,64.7
1906,South Andaman,Total,100,26.4,2.2,78.3
1907,South Andaman,Urban,100,21.4,1.2,87.8
