country,indicator,date,year_week,value,source,url
Austria,Daily hospital occupancy,07-01-2021,2021-W01,1981,Country_Website,
Austria,Daily hospital occupancy,08-01-2021,2021-W01,2000,Country_Website,
Austria,Daily hospital occupancy,09-01-2021,2021-W01,1957,Country_Website,
Austria,Daily hospital occupancy,10-01-2021,2021-W01,1874,Country_Website,
Austria,Daily hospital occupancy,11-01-2021,2021-W02,1918,Country_Website,
Austria,Daily hospital occupancy,12-01-2021,2021-W02,1923,Country_Website,
Austria,Daily hospital occupancy,13-01-2021,2021-W02,1825,Country_Website,
Austria,Daily hospital occupancy,14-01-2021,2021-W02,1725,Country_Website,
Austria,Daily hospital occupancy,15-01-2021,2021-W02,1705,Country_Website,
Austria,Daily hospital occupancy,16-01-2021,2021-W02,1668,Country_Website,
Austria,Daily hospital occupancy,17-01-2021,2021-W02,1635,Country_Website,
Austria,Daily hospital occupancy,18-01-2021,2021-W03,1673,Country_Website,
Austria,Daily hospital occupancy,19-01-2021,2021-W03,1729,Country_Website,
Austria,Daily hospital occupancy,20-01-2021,2021-W03,1683,Country_Website,
Austria,Daily hospital occupancy,21-01-2021,2021-W03,1606,Country_Website,
Austria,Daily hospital occupancy,22-01-2021,2021-W03,1586,Country_Website,
Austria,Daily hospital occupancy,23-01-2021,2021-W03,1525,Country_Website,
Austria,Daily hospital occupancy,24-01-2021,2021-W03,1518,Country_Website,
Austria,Daily hospital occupancy,25-01-2021,2021-W04,1548,Country_Website,
Austria,Daily hospital occupancy,26-01-2021,2021-W04,1583,Country_Website,
Austria,Daily hospital occupancy,27-01-2021,2021-W04,1526,Country_Website,
Austria,Daily hospital occupancy,28-01-2021,2021-W04,1478,Country_Website,
Austria,Daily hospital occupancy,29-01-2021,2021-W04,1428,Country_Website,
Austria,Daily hospital occupancy,30-01-2021,2021-W04,1385,Country_Website,
Austria,Daily hospital occupancy,31-01-2021,2021-W04,1387,Country_Website,
Austria,Daily hospital occupancy,01-02-2021,2021-W05,1433,Country_Website,
Austria,Daily hospital occupancy,02-02-2021,2021-W05,1429,Country_Website,
Austria,Daily hospital occupancy,03-02-2021,2021-W05,1383,Country_Website,
Austria,Daily hospital occupancy,04-02-2021,2021-W05,1342,Country_Website,
Austria,Daily hospital occupancy,05-02-2021,2021-W05,1304,Country_Website,
Austria,Daily hospital occupancy,06-02-2021,2021-W05,1289,Country_Website,
Austria,Daily hospital occupancy,07-02-2021,2021-W05,1275,Country_Website,
Austria,Daily hospital occupancy,08-02-2021,2021-W06,1299,Country_Website,
Austria,Daily hospital occupancy,09-02-2021,2021-W06,1318,Country_Website,
Austria,Daily hospital occupancy,10-02-2021,2021-W06,1262,Country_Website,
Austria,Daily hospital occupancy,11-02-2021,2021-W06,1212,Country_Website,
Austria,Daily hospital occupancy,12-02-2021,2021-W06,1151,Country_Website,
Austria,Daily hospital occupancy,13-02-2021,2021-W06,1062,Country_Website,
Austria,Daily hospital occupancy,14-02-2021,2021-W06,1056,Country_Website,
Austria,Daily hospital occupancy,15-02-2021,2021-W07,1104,Country_Website,
Austria,Daily hospital occupancy,16-02-2021,2021-W07,1089,Country_Website,
Austria,Daily hospital occupancy,17-02-2021,2021-W07,1069,Country_Website,
Austria,Daily hospital occupancy,18-02-2021,2021-W07,1027,Country_Website,
Austria,Daily hospital occupancy,19-02-2021,2021-W07,1030,Country_Website,
Austria,Daily hospital occupancy,20-02-2021,2021-W07,999,Country_Website,
Austria,Daily hospital occupancy,21-02-2021,2021-W07,1018,Country_Website,
Austria,Daily hospital occupancy,22-02-2021,2021-W08,1085,Country_Website,
Austria,Daily hospital occupancy,23-02-2021,2021-W08,1077,Country_Website,
Austria,Daily hospital occupancy,24-02-2021,2021-W08,1064,Country_Website,
Austria,Daily hospital occupancy,25-02-2021,2021-W08,1041,Country_Website,
Austria,Daily hospital occupancy,26-02-2021,2021-W08,1018,Country_Website,
Austria,Daily hospital occupancy,27-02-2021,2021-W08,988,Country_Website,
Austria,Daily hospital occupancy,28-02-2021,2021-W08,1022,Country_Website,
Austria,Daily hospital occupancy,01-03-2021,2021-W09,1073,Country_Website,
Austria,Daily hospital occupancy,02-03-2021,2021-W09,1124,Country_Website,
Austria,Daily hospital occupancy,03-03-2021,2021-W09,1097,Country_Website,
Austria,Daily hospital occupancy,04-03-2021,2021-W09,1142,Country_Website,
Austria,Daily hospital occupancy,05-03-2021,2021-W09,1114,Country_Website,
Austria,Daily hospital occupancy,06-03-2021,2021-W09,1138,Country_Website,
Austria,Daily hospital occupancy,07-03-2021,2021-W09,1155,Country_Website,
Austria,Daily hospital occupancy,08-03-2021,2021-W10,1226,Country_Website,
Austria,Daily hospital occupancy,09-03-2021,2021-W10,1287,Country_Website,
Austria,Daily hospital occupancy,10-03-2021,2021-W10,1273,Country_Website,
Austria,Daily hospital occupancy,11-03-2021,2021-W10,1242,Country_Website,
Austria,Daily hospital occupancy,12-03-2021,2021-W10,1269,Country_Website,
Austria,Daily hospital occupancy,13-03-2021,2021-W10,1285,Country_Website,
Austria,Daily hospital occupancy,14-03-2021,2021-W10,1322,Country_Website,
Austria,Daily hospital occupancy,15-03-2021,2021-W11,1406,Country_Website,
Austria,Daily hospital occupancy,16-03-2021,2021-W11,1438,Country_Website,
Austria,Daily hospital occupancy,17-03-2021,2021-W11,1449,Country_Website,
Austria,Daily hospital occupancy,18-03-2021,2021-W11,1451,Country_Website,
Austria,Daily hospital occupancy,19-03-2021,2021-W11,1462,Country_Website,
Austria,Daily hospital occupancy,20-03-2021,2021-W11,1438,Country_Website,
Austria,Daily hospital occupancy,21-03-2021,2021-W11,1495,Country_Website,
Austria,Daily hospital occupancy,22-03-2021,2021-W12,1573,Country_Website,
Austria,Daily hospital occupancy,23-03-2021,2021-W12,1614,Country_Website,
Austria,Daily hospital occupancy,24-03-2021,2021-W12,1635,Country_Website,
Austria,Daily hospital occupancy,25-03-2021,2021-W12,1641,Country_Website,
Austria,Daily hospital occupancy,26-03-2021,2021-W12,1693,Country_Website,
Austria,Daily hospital occupancy,27-03-2021,2021-W12,1651,Country_Website,
Austria,Daily hospital occupancy,28-03-2021,2021-W12,1636,Country_Website,
Austria,Daily hospital occupancy,29-03-2021,2021-W13,1710,Country_Website,
Austria,Daily hospital occupancy,30-03-2021,2021-W13,1770,Country_Website,
Austria,Daily hospital occupancy,31-03-2021,2021-W13,1787,Country_Website,
Austria,Daily hospital occupancy,01-04-2021,2021-W13,1765,Country_Website,
Austria,Daily hospital occupancy,02-04-2021,2021-W13,1753,Country_Website,
Austria,Daily hospital occupancy,03-04-2021,2021-W13,1655,Country_Website,
Austria,Daily hospital occupancy,04-04-2021,2021-W13,1671,Country_Website,
Austria,Daily hospital occupancy,05-04-2021,2021-W14,1771,Country_Website,
Austria,Daily hospital occupancy,06-04-2021,2021-W14,1854,Country_Website,
