,District name,Households,Rural_Households,Urban_Households
380,Cuttack,790297.0,579529.0,210768.0
381,Jajapur,541139.0,495611.0,45528.0
382,Dhenkanal,352369.0,315390.0,36979.0
383,Anugul,414587.0,340410.0,74177.0
384,Nayagarh,288334.0,261646.0,26688.0
385,Khordha,688729.0,331834.0,356895.0
386,Puri,474224.0,402014.0,72210.0
387,Ganjam,1015394.0,795476.0,219918.0
388,Gajapati,175145.0,152095.0,23050.0
389,Kandhamal,242935.0,218446.0,24489.0
390,Baudh,137954.0,131377.0,6577.0
391,Subarnapur,193502.0,176927.0,16575.0
392,Balangir,538962.0,476770.0,62192.0
393,Nuapada,209127.0,197258.0,11869.0
394,Kalahandi,494748.0,456336.0,38412.0
395,Rayagada,286548.0,237343.0,49205.0
396,Nabarangapur,372264.0,342840.0,29424.0
397,Koraput,460128.0,381789.0,78339.0
398,Malkangiri,183723.0,167884.0,15839.0
399,Koriya,181615.0,121852.0,59763.0
400,Surguja,65167.0,0.0,65167.0
401,Jashpur,20722.0,0.0,20722.0
402,Raigarh,420916.0,354278.0,66638.0
403,Korba,332653.0,206598.0,126055.0
404,Janjgir - Champa,440773.0,379583.0,61190.0
405,Bilaspur,737806.0,549632.0,188174.0
406,Kabeerdham,211179.0,187311.0,23868.0
407,Rajnandgaon,390132.0,313604.0,76528.0
408,Durg,883189.0,533448.0,349741.0
409,Raipur,1068500.0,673499.0,395001.0
410,Mahasamund,310567.0,274793.0,35774.0
411,Dhamtari,210481.0,168689.0,41792.0
412,Uttar Bastar Kanker,194069.0,169191.0,24878.0
413,Bastar,371319.0,316425.0,54894.0
414,Narayanpur,33095.0,26916.0,6179.0
415,Dakshin Bastar Dantewada,137849.0,106545.0,31304.0
416,Bijapur,58391.0,50449.0,7942.0
417,Sheopur,176522.0,150146.0,26376.0
418,Morena,414586.0,319298.0,95288.0
419,Bhind,359596.0,271211.0,88385.0
420,Gwalior,444892.0,172720.0,272172.0
421,Datia,203854.0,160453.0,43401.0
422,Shivpuri,434618.0,367859.0,66759.0
423,Tikamgarh,382992.0,322772.0,60220.0
424,Chhatarpur,470917.0,375869.0,95048.0
425,Panna,288923.0,256744.0,32179.0
426,Sagar,613915.0,448408.0,165507.0
427,Damoh,369901.0,303387.0,66514.0
428,Satna,576004.0,461831.0,114173.0
429,Rewa,618399.0,523910.0,94489.0
430,Umaria,168066.0,138100.0,29966.0
431,Neemuch,242197.0,174235.0,67962.0
432,Mandsaur,384119.0,302287.0,81832.0
433,Ratlam,373867.0,266716.0,107151.0
434,Ujjain,489449.0,300765.0,188684.0
435,Shajapur,386608.0,312611.0,73997.0
436,Dewas,376009.0,274995.0,101014.0
437,Dhar,515712.0,412348.0,103364.0
438,Indore,788318.0,200371.0,587947.0
439,Khargone (West Nimar),460163.0,383543.0,76620.0
