,District,Total_Households,Households_Rural,Households_Urban,Households_Rural_Livable,Households_Urban_Livable,Households_Rural_Dilapidated,Households_Urban_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban_Toilet_Premise,Households_Total_Livable,Households_Total_Dilapidated,Households_Total_Toilet_Premise
117,Ajmer,684254.0,409335.0,274919.0,204259,76703,13918,3025,57717,236981,282597,17107,289440
118,Tonk,380666.0,298911.0,81755.0,161711,29678,5680,2044,20625,53714,192237,7614,71185
119,Bundi,303288.0,239836.0,63452.0,135028,21320,8155,1270,19907,40737,157407,9402,57929
120,Bhilwara,675880.0,530015.0,145865.0,294159,43906,19081,1897,55652,108962,340644,20953,158156
121,Rajsamand,365676.0,304622.0,61054.0,166324,18866,12795,611,34423,43593,187227,13531,73136
122,Dungarpur,354363.0,322816.0,31547.0,200469,8077,20015,663,29377,23377,211555,20908,47485
123,Banswara,429844.0,390437.0,39407.0,267840,9261,35530,907,26941,32511,280689,36967,53301
124,Chittaurgarh,455653.0,366780.0,88873.0,201363,23818,13205,1600,35211,64433,227371,15037,94776
125,Kota,515189.0,203454.0,311735.0,94200,91339,5697,5923,25025,239413,185469,11335,264808
126,Baran,318988.0,249184.0,69804.0,126337,24362,7725,1397,18689,39998,151520,9251,56142
127,Jhalawar,362387.0,298624.0,63763.0,178279,19129,12841,1340,21501,42658,199313,14134,60157
128,Udaipur,848218.0,665449.0,182769.0,399935,40210,25288,2194,61887,157547,446163,27992,206966
129,Pratapgarh,234082.0,209813.0,24269.0,132602,5825,5246,340,13009,17013,140450,5618,26686
130,Saharanpur,889238.0,605082.0,284156.0,281364,105991,34490,8809,259581,261424,387708,43573,518426
131,Muzaffarnagar,969850.0,673746.0,296104.0,338221,118442,30993,9476,369887,274193,457770,40734,640101
132,Bijnor,908523.0,683875.0,224648.0,359719,95925,37614,7189,344673,207575,456079,45427,549657
133,Moradabad,1047916.0,692398.0,355518.0,439673,164250,41544,11377,330967,332765,604648,53444,662283
134,Rampur,539992.0,396775.0,143217.0,257507,69461,24601,5586,223782,135054,327236,30240,357475
