,country,indicator,date,value
417,Austria,Daily hospital occupancy,23-05-2021,386.0
418,Austria,Daily hospital occupancy,24-05-2021,368.0
419,Austria,Daily hospital occupancy,25-05-2021,383.0
420,Austria,Daily hospital occupancy,26-05-2021,349.0
421,Austria,Daily hospital occupancy,27-05-2021,318.0
422,Austria,Daily hospital occupancy,28-05-2021,285.0
423,Austria,Daily hospital occupancy,29-05-2021,273.0
424,Austria,Daily hospital occupancy,30-05-2021,264.0
425,Austria,Daily hospital occupancy,31-05-2021,258.0
426,Austria,Daily hospital occupancy,01-06-2021,268.0
427,Austria,Daily hospital occupancy,02-06-2021,266.0
428,Austria,Daily hospital occupancy,03-06-2021,245.0
429,Austria,Daily hospital occupancy,04-06-2021,247.0
430,Austria,Daily hospital occupancy,05-06-2021,288.0
431,Austria,Daily hospital occupancy,06-06-2021,284.0
432,Austria,Daily hospital occupancy,07-06-2021,280.0
433,Austria,Daily hospital occupancy,08-06-2021,275.0
434,Austria,Daily hospital occupancy,09-06-2021,248.0
435,Austria,Daily hospital occupancy,10-06-2021,244.0
436,Austria,Daily hospital occupancy,11-06-2021,229.0
437,Austria,Daily hospital occupancy,12-06-2021,217.0
438,Austria,Daily hospital occupancy,13-06-2021,219.0
439,Austria,Daily hospital occupancy,14-06-2021,208.0
440,Austria,Daily hospital occupancy,15-06-2021,205.0
441,Austria,Daily hospital occupancy,16-06-2021,188.0
442,Austria,Daily hospital occupancy,17-06-2021,185.0
443,Austria,Daily hospital occupancy,18-06-2021,175.0
444,Austria,Daily hospital occupancy,19-06-2021,164.0
445,Austria,Daily hospital occupancy,20-06-2021,164.0
446,Austria,Daily hospital occupancy,21-06-2021,164.0
447,Austria,Daily hospital occupancy,22-06-2021,169.0
448,Austria,Daily hospital occupancy,23-06-2021,157.0
449,Austria,Daily hospital occupancy,24-06-2021,146.0
450,Austria,Daily hospital occupancy,25-06-2021,127.0
451,Austria,Daily hospital occupancy,26-06-2021,128.0
452,Austria,Daily hospital occupancy,27-06-2021,122.0
453,Austria,Daily hospital occupancy,28-06-2021,118.0
454,Austria,Daily hospital occupancy,29-06-2021,129.0
455,Austria,Daily hospital occupancy,30-06-2021,112.0
456,Austria,Daily hospital occupancy,01-07-2021,112.0
457,Austria,Daily hospital occupancy,02-07-2021,101.0
458,Austria,Daily hospital occupancy,03-07-2021,97.0
459,Austria,Daily hospital occupancy,04-07-2021,89.0
460,Austria,Daily hospital occupancy,05-07-2021,83.0
461,Austria,Daily hospital occupancy,06-07-2021,78.0
462,Austria,Daily hospital occupancy,07-07-2021,72.0
463,Austria,Daily hospital occupancy,08-07-2021,69.0
464,Austria,Daily hospital occupancy,09-07-2021,67.0
465,Austria,Daily hospital occupancy,10-07-2021,61.0
466,Austria,Daily hospital occupancy,11-07-2021,62.0
467,Austria,Daily hospital occupancy,12-07-2021,67.0
468,Austria,Daily hospital occupancy,13-07-2021,75.0
469,Austria,Daily hospital occupancy,14-07-2021,78.0
470,Austria,Daily hospital occupancy,15-07-2021,77.0
471,Austria,Daily hospital occupancy,16-07-2021,71.0
472,Austria,Daily hospital occupancy,17-07-2021,80.0
473,Austria,Daily hospital occupancy,18-07-2021,77.0
474,Austria,Daily hospital occupancy,19-07-2021,80.0
475,Austria,Daily hospital occupancy,20-07-2021,82.0
476,Austria,Daily hospital occupancy,21-07-2021,81.0
477,Austria,Daily hospital occupancy,22-07-2021,78.0
478,Austria,Daily hospital occupancy,23-07-2021,74.0
479,Austria,Daily hospital occupancy,24-07-2021,80.0
480,Austria,Daily hospital occupancy,25-07-2021,78.0
481,Austria,Daily hospital occupancy,26-07-2021,85.0
482,Austria,Daily hospital occupancy,27-07-2021,80.0
483,Austria,Daily hospital occupancy,28-07-2021,75.0
484,Austria,Daily hospital occupancy,29-07-2021,83.0
485,Austria,Daily hospital occupancy,30-07-2021,81.0
486,Austria,Daily hospital occupancy,31-07-2021,90.0
487,Austria,Daily hospital occupancy,01-08-2021,96.0
488,Austria,Daily hospital occupancy,02-08-2021,99.0
489,Austria,Daily hospital occupancy,03-08-2021,102.0
490,Austria,Daily hospital occupancy,04-08-2021,96.0
