District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise,State_UT
Tawang,10730,5033,440,7447,2452,613,15,2391,Arunachal Pradesh
West Kameng,17889,8641,448,6959,0,0,0,0,Arunachal Pradesh
East Kameng,14503,8441,378,3191,5215,2467,131,3338,Arunachal Pradesh
Papum Pare,20308,8997,813,11129,30180,9477,1057,27676,Arunachal Pradesh
Upper Subansiri,14542,9147,364,5003,4672,1799,57,3976,Arunachal Pradesh
West Siang,22272,9177,179,15836,8503,2551,179,8129,Arunachal Pradesh
East Siang,19497,5460,293,9242,9524,5372,410,8639,Arunachal Pradesh
Upper Siang,8569,2503,35,4825,2182,1037,25,1750,Arunachal Pradesh
Changlang,33422,16645,569,21825,6498,2489,52,5933,Arunachal Pradesh
Tirap,18420,7976,185,15768,6500,3068,98,5974,Arunachal Pradesh
Lower Subansiri,18112,7282,272,12335,5365,1315,38,5285,Arunachal Pradesh
Kurung Kumey,18603,8316,2326,4372,1092,543,56,881,Arunachal Pradesh
Dibang Valley,2055,1022,148,1330,1175,574,66,966,Arunachal Pradesh
Lower Dibang Valley,12000,6324,384,5760,3950,1276,147,3500,Arunachal Pradesh
Lohit,33599,18178,2016,16632,11372,5311,410,10144,Arunachal Pradesh
Anjaw,6025,3182,362,1669,428,293,0,275,Arunachal Pradesh
Mon,43607,27909,611,27342,7415,3612,416,6985,Nagaland
Mokokchung,37536,12800,188,36148,17742,5855,125,17476,Nagaland
Zunheboto,31267,13821,532,22419,6044,2182,13,5706,Nagaland
Wokha,38499,19866,385,22907,8170,1773,17,7901,Nagaland
Dimapur,49116,21955,1572,44991,62853,21748,1320,60842,Nagaland
Phek,38903,21164,934,29333,7295,2838,30,6829,Nagaland
Tuensang,40690,22380,1384,20264,9451,5095,293,8393,Nagaland
Longleng,12686,8386,280,8754,2451,1562,138,1856,Nagaland
Kiphire,16032,9171,161,5868,4290,1193,18,4089,Nagaland
Kohima,31845,10700,192,16624,44255,14118,841,40715,Nagaland
Peren,20204,10709,182,15578,4073,2489,86,3784,Nagaland
Senapati,38008,22691,837,27556,1826,1158,33,1783,Manipur
Tamenglong,23982,13574,2015,15925,4119,2254,429,3984,Manipur
Churachandpur,52972,28393,1219,43596,4853,2548,112,4795,Manipur
Bishnupur,34977,12138,2064,31865,21172,6373,869,19987,Manipur
Thoubal,65961,22097,3628,60487,38302,10265,1992,36043,Manipur
Imphal West,51055,16900,2706,46971,85746,26153,3773,82917,Manipur
Imphal East,64421,23450,2964,58559,46520,14654,1489,44427,Manipur
Ukhrul,36084,25404,1877,29012,5806,3275,244,5580,Manipur
Chandel,30377,17741,1246,23421,3783,1540,591,3666,Manipur
Mamit,16726,8313,987,13900,4129,884,42,4076,Mizoram
Kolasib,9669,4555,213,9254,12507,4816,301,12082,Mizoram
Aizawl,20570,7118,350,20036,80341,13337,563,79779,Mizoram
Champhai,18395,8867,883,17457,12717,5647,191,12387,Mizoram
Serchhip,7472,3886,464,7204,8018,3737,770,7970,Mizoram
Lunglei,21479,10697,838,17291,17315,4641,139,16831,Mizoram
Lawngtlai,21993,10931,1144,13306,5273,1825,85,5184,Mizoram
Saiha,7043,2282,367,6128,5784,1661,134,5646,Mizoram
West Tripura,289621,119904,11585,246758,217016,69880,7813,212893,Tripura
South Tripura,219171,94025,9863,181036,44906,12305,1617,44008,Tripura
Dhalai,89457,42493,6441,59400,14071,5629,1267,13565,Tripura
North Tripura,150437,72812,12487,122607,42184,14512,2996,40919,Tripura
West Garo Hills,139351,68282,7665,78455,18594,6341,1172,17460,Meghalaya
East Garo Hills,62698,30660,2258,49720,11518,4873,139,11138,Meghalaya
South Garo Hills,35930,18397,1438,22780,3713,1556,101,3246,Meghalaya
West Khasi Hills,74832,41981,6885,30532,12299,5756,566,11131,Meghalaya
Ribhoi,57988,31256,3422,37171,5736,1956,178,5243,Meghalaya
East Khasi Hills,106248,56206,9882,47068,108843,25579,2286,105469,Meghalaya
Jaintia Hills,76546,35518,6430,33375,7171,1004,151,6892,Meghalaya
Kokrajhar,204896,112693,26637,51020,17115,4245,805,15421,Assam
Dhubri,460602,295707,81066,179635,60417,24046,7371,48395,Assam
Goalpara,228610,138081,28805,141967,39504,18330,3161,33579,Assam
Barpeta,447189,282624,84072,312138,52192,17641,3863,48435,Assam
Morigaon,232206,145129,34367,132822,25275,10818,2326,22824,Assam
Nagaon,674999,400275,93150,486000,124186,54270,7327,118226,Assam
Sonitpur,483325,280812,49300,265829,64528,20779,2904,61302,Assam
Lakhimpur,293239,190019,28445,157470,34694,13080,1909,32856,Assam
Dhemaji,211758,140184,21176,85339,16504,7972,1189,15778,Assam
Tinsukia,290704,162795,14536,224715,90910,33728,4546,85910,Assam
Dibrugarh,299852,162520,17092,222491,77163,22918,3164,74386,Assam
Sivasagar,360182,217190,21972,258971,45047,16398,1757,41984,Assam
Jorhat,286330,174375,23193,168649,80824,28531,3233,76137,Assam
Golaghat,292893,187452,23139,190674,34190,13232,1436,33404,Assam
Karbi Anglong,215691,140415,9275,104611,37185,19337,1339,35140,Assam
Dima Hasao,37610,23469,1693,21476,21309,9632,704,20585,Assam
Cachar,346227,197004,42240,268673,88933,33084,5425,85198,Assam
Karimganj,261945,150881,39030,219248,32695,11803,2845,31845,Assam
Hailakandi,159215,94733,26749,130398,16202,4942,1232,15895,Assam
Bongaigaon,181923,116977,22741,89507,38470,11157,1655,35239,Assam
Chirang,129018,74186,14063,30965,11613,4588,1719,9860,Assam
Kamrup,390596,230843,48044,222640,43849,19776,3728,34510,Assam
Kamrup Metropolitan,61334,32140,6195,39684,366858,100153,14308,355853,Assam
Nalbari,210706,128531,20018,134220,28238,12228,2401,25443,Assam
Baksa,291641,187526,32664,112866,3580,1905,269,3369,Assam
Darrang,268517,154666,47797,127815,20189,6946,1737,18534,Assam
Udalguri,267790,160407,28654,111133,13835,4884,997,12424,Assam
Darjiling,303284,164380,24263,158618,215675,68369,11431,187638,West Bengal
Jalpaiguri,798378,461463,127741,296199,319426,118827,33540,262888,West Bengal
Koch Bihar,803407,463566,101230,447498,97331,32996,7690,87890,West Bengal
Uttar Dinajpur,683981,396025,84814,140901,94269,37708,13764,75981,West Bengal
Dakshin Dinajpur,390949,225187,46523,107511,70077,24037,6518,64191,West Bengal
Maldah,830318,489888,93826,210901,128678,62409,10681,95608,West Bengal
Murshidabad,1501066,842099,255182,520870,350899,170187,40705,216856,West Bengal
Birbhum,831044,432143,129643,155406,134565,50193,12515,82893,West Bengal
Barddhaman,1364868,707002,128298,629205,862368,329425,54330,616594,West Bengal
Nadia,1081381,582865,168696,771025,468390,192977,49650,437008,West Bengal
North Twenty Four Parganas,1209337,559924,238240,954167,1649803,551035,89090,1550815,West Bengal
Hugli,992085,451399,116074,596244,647953,218361,34342,575383,West Bengal
Bankura,900515,471870,105361,148585,90885,35264,8089,54895,West Bengal
Puruliya,653219,409569,48339,39847,99433,43254,6663,50612,West Bengal
Haora,483384,195288,67191,290998,869313,305999,56506,725877,West Bengal
Kolkata,0,0,0,0,1308106,404205,35319,1241393,West Bengal
South Twenty Four Parganas,1568802,782833,254146,862842,611430,235401,49526,508099,West Bengal
Paschim Medinipur,1364335,712183,180093,571657,201048,65944,16687,155210,West Bengal
Purba Medinipur,1193006,584573,215935,1021214,170707,59407,17242,141346,West Bengal
Garhwa,272872,170273,12553,13371,19180,8536,1305,8881,Jharkhand
Chatra,200974,115561,9044,13265,14528,6741,596,9545,Jharkhand
Kodarma,116714,61042,4902,8871,34771,15543,1878,17490,Jharkhand
Giridih,452564,242575,14030,26249,46886,17348,1595,28742,Jharkhand
Deoghar,257373,155969,13127,14156,64337,24063,2703,43943,Jharkhand
Godda,276454,173337,25434,21840,15576,5732,655,10109,Jharkhand
Sahibganj,223450,145466,16312,20558,37543,17458,2929,20386,Jharkhand
Pakur,200588,120153,14242,14643,16587,7747,946,7713,Jharkhand
Dhanbad,258764,135075,12162,31570,405455,180428,15813,240435,Jharkhand
Bokaro,250312,125907,10263,16521,258452,94852,8271,162050,Jharkhand
Lohardaga,96759,60475,2710,7064,14725,5331,648,10382,Jharkhand
Purbi Singhbhum,262537,133894,15228,35706,342126,88269,7869,276096,Jharkhand
Palamu,355529,223273,22399,26310,52375,21003,2829,30535,Jharkhand
Latehar,146377,84899,3221,10540,14137,5740,707,7889,Jharkhand
Hazaribagh,312983,151797,10329,29108,68765,22762,2063,50543,Jharkhand
Ramgarh,134067,67168,5095,14748,118558,47187,4269,71135,Jharkhand
Dumka,303697,194063,18222,18830,23281,7800,1165,14947,Jharkhand
Jamtara,165555,103638,8113,7285,20113,6738,664,12088,Jharkhand
