,District,Households_Rural,Households_Rural_Livable,Households_Rural_Dilapidated,Households_Rural_Toilet_Premise,Households_Urban,Households_Urban_Livable,Households_Urban_Dilapidated,Households_Urban_Toilet_Premise
245,East Kameng,14503.0,8441,378,3191,5215.0,2467,131,3338
246,Papum Pare,20308.0,8997,813,11129,30180.0,9477,1057,27676
247,Upper Subansiri,14542.0,9147,364,5003,4672.0,1799,57,3976
248,West Siang,22272.0,9177,179,15836,8503.0,2551,179,8129
249,East Siang,19497.0,5460,293,9242,9524.0,5372,410,8639
250,Upper Siang,8569.0,2503,35,4825,2182.0,1037,25,1750
251,Changlang,33422.0,16645,569,21825,6498.0,2489,52,5933
252,Tirap,18420.0,7976,185,15768,6500.0,3068,98,5974
253,Lower Subansiri,18112.0,7282,272,12335,5365.0,1315,38,5285
254,Kurung Kumey,18603.0,8316,2326,4372,1092.0,543,56,881
255,Dibang Valley,2055.0,1022,148,1330,1175.0,574,66,966
256,Lower Dibang Valley,12000.0,6324,384,5760,3950.0,1276,147,3500
257,Lohit,33599.0,18178,2016,16632,11372.0,5311,410,10144
258,Anjaw,6025.0,3182,362,1669,428.0,293,0,275
259,Mon,43607.0,27909,611,27342,7415.0,3612,416,6985
260,Mokokchung,37536.0,12800,188,36148,17742.0,5855,125,17476
261,Zunheboto,31267.0,13821,532,22419,6044.0,2182,13,5706
262,Wokha,38499.0,19866,385,22907,8170.0,1773,17,7901
263,Dimapur,49116.0,21955,1572,44991,62853.0,21748,1320,60842
264,Phek,38903.0,21164,934,29333,7295.0,2838,30,6829
265,Tuensang,40690.0,22380,1384,20264,9451.0,5095,293,8393
266,Longleng,12686.0,8386,280,8754,2451.0,1562,138,1856
267,Kiphire,16032.0,9171,161,5868,4290.0,1193,18,4089
268,Kohima,31845.0,10700,192,16624,44255.0,14118,841,40715
269,Peren,20204.0,10709,182,15578,4073.0,2489,86,3784
270,Senapati,38008.0,22691,837,27556,1826.0,1158,33,1783
271,Tamenglong,23982.0,13574,2015,15925,4119.0,2254,429,3984
272,Churachandpur,52972.0,28393,1219,43596,4853.0,2548,112,4795
273,Bishnupur,34977.0,12138,2064,31865,21172.0,6373,869,19987
274,Thoubal,65961.0,22097,3628,60487,38302.0,10265,1992,36043
275,Imphal West,51055.0,16900,2706,46971,85746.0,26153,3773,82917
276,Imphal East,64421.0,23450,2964,58559,46520.0,14654,1489,44427
277,Ukhrul,36084.0,25404,1877,29012,5806.0,3275,244,5580
278,Chandel,30377.0,17741,1246,23421,3783.0,1540,591,3666
279,Mamit,16726.0,8313,987,13900,4129.0,884,42,4076
280,Kolasib,9669.0,4555,213,9254,12507.0,4816,301,12082
281,Aizawl,20570.0,7118,350,20036,80341.0,13337,563,79779
282,Champhai,18395.0,8867,883,17457,12717.0,5647,191,12387
283,Serchhip,7472.0,3886,464,7204,8018.0,3737,770,7970
284,Lunglei,21479.0,10697,838,17291,17315.0,4641,139,16831
285,Lawngtlai,21993.0,10931,1144,13306,5273.0,1825,85,5184
286,Saiha,7043.0,2282,367,6128,5784.0,1661,134,5646
287,West Tripura,289621.0,119904,11585,246758,217016.0,69880,7813,212893
288,South Tripura,219171.0,94025,9863,181036,44906.0,12305,1617,44008
289,Dhalai,89457.0,42493,6441,59400,14071.0,5629,1267,13565
290,North Tripura,150437.0,72812,12487,122607,42184.0,14512,2996,40919
291,West Garo Hills,139351.0,68282,7665,78455,18594.0,6341,1172,17460
292,East Garo Hills,62698.0,30660,2258,49720,11518.0,4873,139,11138
293,South Garo Hills,35930.0,18397,1438,22780,3713.0,1556,101,3246
294,West Khasi Hills,74832.0,41981,6885,30532,12299.0,5756,566,11131
295,Ribhoi,57988.0,31256,3422,37171,5736.0,1956,178,5243
296,East Khasi Hills,106248.0,56206,9882,47068,108843.0,25579,2286,105469
297,Jaintia Hills,76546.0,35518,6430,33375,7171.0,1004,151,6892
298,Kokrajhar,204896.0,112693,26637,51020,17115.0,4245,805,15421
299,Dhubri,460602.0,295707,81066,179635,60417.0,24046,7371,48395
300,Goalpara,228610.0,138081,28805,141967,39504.0,18330,3161,33579
301,Barpeta,447189.0,282624,84072,312138,52192.0,17641,3863,48435
302,Morigaon,232206.0,145129,34367,132822,25275.0,10818,2326,22824
303,Nagaon,674999.0,400275,93150,486000,124186.0,54270,7327,118226
304,Sonitpur,483325.0,280812,49300,265829,64528.0,20779,2904,61302
305,Lakhimpur,293239.0,190019,28445,157470,34694.0,13080,1909,32856
306,Dhemaji,211758.0,140184,21176,85339,16504.0,7972,1189,15778
307,Tinsukia,290704.0,162795,14536,224715,90910.0,33728,4546,85910
